k
0.0848
0.0947
0.1021
0.1074
0.1118
0.1171
0.1239
0.1310
0.1392
0.1474
0.1556
0.1636
0.1717
0.1803
0.1892
0.2001
0.2096
0.2176
0.2251
0.2321
0.2418
0.2531
0.2654
0.2792
0.2942
0.3097
0.3252
0.3391
0.3513
0.3625
0.3732
0.3843
0.3949
0.4052
0.4154
0.4255
0.4356
0.4464
0.4579
0.4700
0.4816
0.4933
0.5057
0.5192
0.5331
0.5473
0.5613
0.5755
0.5901
0.6054
0.6215
0.6388
0.6568
0.6762
0.6966
0.7173
0.7393
0.7616
0.7840
0.8059
0.8286
0.8521
0.8776
0.9037
0.9297
0.9577
0.9895
1.0240
1.0602
1.0971 
